t,spot_price,act_dol,act_ETH,net_worth,profit,threshold,target_price,price_gap,fees,spent,gains,profit
8514,365.31,638620.8441250008,930,978359.1441250008,-21640.855874999193,1.278585,361.4531999999999,3.856800000000078,5676.905874999996,1313232.3000000003,957530.0500000014,-361379.15587499883
8515,365.31,640442.8277500008,925,978354.5777500008,-21645.422249999247,1.278585,361.4749999999999,3.8350000000000932,5681.472249999996,1313232.3000000003,959356.6000000015,-359557.1722499988
8516,365.01,642263.3151250008,920,978072.5151250008,-21927.48487499915,1.277535,361.4979999999999,3.512000000000114,5686.034874999996,1313232.3000000003,961181.6500000015,-357736.68487499875
8517,365.01,644083.8025000008,915,978067.9525000008,-21932.04749999917,1.277535,361.518,3.4920000000000186,5690.597499999995,1313232.3000000003,963006.7000000016,-355916.19749999867
8518,365.01,645904.2898750008,910,978063.3898750008,-21936.61012499919,1.277535,361.5414,3.468599999999981,5695.160124999995,1313232.3000000003,964831.7500000016,-354095.71012499864
8519,365.06,647725.0266250009,905,978104.3266250009,-21895.67337499908,1.2777100000000001,361.5692000000001,3.490799999999922,5699.723374999995,1313232.3000000003,966657.0500000017,-352274.9733749986
8520,365.06,649545.7633750009,900,978099.7633750009,-21900.23662499909,1.2777100000000001,361.5998,3.460199999999986,5704.286624999995,1313232.3000000003,968482.3500000017,-350454.23662499856
8521,365.06,651366.500125001,895,978095.2001250009,-21904.799874999095,1.2777100000000001,361.6304,3.4295999999999935,5708.849874999995,1313232.3000000003,970307.6500000018,-348633.4998749985
8522,365.10,653187.436375001,890,978126.436375001,-21873.56362499902,1.2778500000000002,361.661,3.4390000000000214,5713.413624999996,1313232.3000000003,972133.1500000018,-346812.5636249985
8523,365.21,655008.921250001,885,978219.7712500009,-21780.228749999078,1.278235,361.6919999999999,3.518000000000086,5717.978749999996,1313232.3000000003,973959.2000000018,-344991.0787499985
8524,365.43,656831.5033750009,880,978409.9033750009,-21590.096624999074,1.279005,361.7240999999999,3.7059000000000992,5722.546624999995,1313232.3000000003,975786.3500000018,-343168.49662499846
8525,365.96,658656.7288750008,875,978871.7288750008,-21128.271124999155,1.2808599999999999,361.75839999999994,4.201600000000042,5727.121124999995,1313232.3000000003,977616.1500000019,-341343.2711249984
8526,366.42,660484.2486250008,870,979269.6486250008,-20730.351374999154,1.28247,361.7991,4.620900000000006,5731.701374999995,1313232.3000000003,979448.2500000019,-339515.7513749984
8527,366.29,662311.1200000008,865,979151.9700000009,-20848.029999999097,1.2820150000000001,361.8451,4.444900000000018,5736.279999999995,1313232.3000000003,981279.7000000018,-337688.87999999843
8528,366.70,664140.0362500008,860,979502.0362500008,-20497.96374999918,1.28345,361.8898,4.810200000000009,5740.863749999995,1313232.3000000003,983113.2000000018,-335859.9637499985
8529,366.70,665968.9525000008,855,979497.4525000008,-20502.54749999917,1.28345,361.9386,4.7613999999999805,5745.447499999995,1313232.3000000003,984946.7000000018,-334031.0474999985
8530,366.70,667797.8687500008,850,979492.8687500008,-20507.13124999916,1.28345,361.98879999999997,4.711200000000019,5750.0312499999945,1313232.3000000003,986780.2000000018,-332202.13124999846
8531,366.64,669626.4857500008,845,979437.2857500007,-20562.714249999262,1.28324,362.03899999999993,4.601000000000056,5754.614249999994,1313232.3000000003,988613.4000000018,-330373.5142499985
8532,366.58,671454.8035000009,840,979382.0035000008,-20617.996499999193,1.28303,362.0905999999999,4.489400000000103,5759.196499999995,1313232.3000000003,990446.3000000018,-328545.1964999985
8533,367.74,673288.9067500009,835,980351.8067500009,-19648.19324999908,1.28709,362.1416,5.5984000000000265,5763.793249999994,1313232.3000000003,992285.0000000017,-326711.0932499985
8534,368.00,675124.3067500009,830,980564.3067500009,-19435.69324999908,1.288,362.2063999999999,5.793600000000083,5768.393249999995,1313232.3000000003,994125.0000000017,-324875.69324999856
8535,368.19,676960.654375001,825,980717.404375001,-19282.595624999027,1.288665,362.28409999999997,5.905900000000031,5772.995624999995,1313232.3000000003,995965.9500000017,-323039.34562499856
8536,368.39,678797.999500001,820,980877.7995000009,-19122.200499999104,1.2893649999999999,362.3722,6.017799999999966,5777.600499999995,1313232.3000000003,997807.9000000017,-321202.0004999986
8537,368.47,680635.7436250009,815,980938.793625001,-19061.20637499902,1.2896450000000002,362.4674,6.0026000000000295,5782.206374999995,1313232.3000000003,999650.2500000016,-319364.25637499866
8538,368.60,682474.1361250009,810,981040.1361250009,-18959.863874999108,1.2901,362.56340000000006,6.036599999999964,5786.813874999995,1313232.3000000003,1001493.2500000016,-317525.86387499864
8539,368.60,684312.5286250009,805,981035.5286250009,-18964.47137499915,1.2901,362.6618,5.938199999999995,5791.421374999995,1313232.3000000003,1003336.2500000016,-315687.4713749986
8540,368.80,686151.9186250009,800,981191.9186250009,-18808.081374999136,1.2908000000000002,362.7677,6.032300000000021,5796.031374999995,1313232.3000000003,1005180.2500000016,-313848.08137499867
